MatchID,InningsNo,Team,PlayerName,MatchPlayingOrder,BowlerName,OutDesc,Runs,Balls,DotBalls,Ones,Twos,Threes,Fours,Sixes,StrikeRate,WicketNo,AgainstFast,AgainstSpin
3,2,PBSK,Sandeep Sharma,3,,,0,0,0,0,0,0,0,0,-,,0,0
3,2,PBSK,Harpreet Brar,4,,,0,0,0,0,0,0,0,0,-,,0,0
3,2,PBSK,Arshdeep Singh,5,,,0,0,0,0,0,0,0,0,-,,0,0
4,1,LSG,K L Rahul,1,Mohammad Shami,c Matthew Wade b Mohammad Shami,0,1,1,0,0,0,0,0,0.00,2.0,1,0
4,1,LSG,Quinton De Kock,4,Mohammad Shami,b Mohammad Shami,7,9,5,3,0,0,1,0,77.78,7.0,9,0
4,1,LSG,Evin Lewis,5,Varun Aaron,c Shubman Gill b Varun Aaron,10,9,5,2,0,0,2,0,111.11,3.0,9,0
4,1,LSG,Manish Pandey,2,Mohammad Shami,b Mohammad Shami,6,5,2,2,0,0,1,0,120.00,5.0,5,0
4,1,LSG,Deepak Hooda,7,Rashid Khan,lbw Rashid Khan,55,41,17,14,1,1,6,2,134.15,8.0,30,11
4,1,LSG,Ayush Badoni,8,Varun Aaron,c Hardik Pandya b Varun Aaron,54,41,15,18,1,0,4,3,131.71,1.0,29,12
4,1,LSG,Krunal Pandya,3,,not out,21,13,2,7,1,0,3,0,161.54,,12,1
4,1,LSG,Dushmantha Chameera,6,,not out,1,1,0,1,0,0,0,0,100.00,,1,0
4,1,LSG,Avesh Khan,9,,,0,0,0,0,0,0,0,0,-,,0,0
4,1,LSG,Mohsin Khan,10,,,0,0,0,0,0,0,0,0,-,,0,0
4,1,LSG,Ravi Bishnoi,11,,,0,0,0,0,0,0,0,0,-,,0,0
4,2,GT,Shubman Gill,2,Dushmantha Chameera,c Deepak Hooda b Dushmantha Chameera,0,3,3,0,0,0,0,0,0.00,3.0,3,0
4,2,GT,Matthew Wade,3,Deepak Hooda,b Deepak Hooda,30,29,14,8,3,0,4,0,103.45,8.0,11,18
4,2,GT,Vijay Shankar,4,Dushmantha Chameera,b Dushmantha Chameera,4,6,3,2,1,0,0,0,66.67,9.0,6,0
4,2,GT,Hardik Pandya,1,Krunal Pandya,c Manish Pandey b Krunal Pandya,33,28,16,5,1,0,5,1,117.86,1.0,16,12
4,2,GT,David Miller,5,Avesh Khan,c K L Rahul b Avesh Khan,30,21,5,12,1,0,1,2,142.86,2.0,3,18
4,2,GT,Rahul Tewatia,6,,not out,40,24,9,8,0,0,5,2,166.67,,6,18
4,2,GT,Abhinav Manohar,7,,not out,15,7,1,3,0,0,3,0,214.29,,7,0
4,2,GT,Lockie Ferguson,8,,,0,0,0,0,0,0,0,0,-,,0,0
4,2,GT,Rashid Khan,9,,,0,0,0,0,0,0,0,0,-,,0,0
4,2,GT,Mohammad Shami,10,,,0,0,0,0,0,0,0,0,-,,0,0
4,2,GT,Varun Aaron,11,,,0,0,0,0,0,0,0,0,-,,0,0
5,1,RR,Jos Buttler,1,Umran Malik,c Nicholas Pooran b Umran Malik,35,28,17,5,0,0,3,3,125.00,1.0,22,4
5,1,RR,Yashasvi Jaiswal,2,Romario Shepherd,c Aiden Markram b Romario Shepherd,20,16,7,6,0,0,2,1,125.00,3.0,11,3
5,1,RR,Sanju Samson,4,Bhuvneshwar Kumar,c Abdul Samad b Bhuvneshwar Kumar,55,27,9,7,3,0,3,5,203.70,4.0,12,15
5,1,RR,Devdutt Padikkal,3,Umran Malik,b Umran Malik,41,29,12,9,2,0,4,2,141.38,7.0,28,1
5,1,RR,Shimron Hetmyer,5,T Natarajan,b T Natarajan,32,13,3,4,1,0,2,3,246.15,8.0,12,1
5,1,RR,Riyan Parag,6,T Natarajan,c Nicholas Pooran b T Natarajan,12,9,3,4,0,0,2,0,133.33,2.0,9,0
5,1,RR,Nathan Coulter-Nile,8,,not out,1,2,1,1,0,0,0,0,50.00,,2,0
5,1,RR,Ravichandran Ashwin,7,,,0,0,0,0,0,0,0,0,-,,0,0
5,1,RR,Prasidh Krishna,9,,,0,0,0,0,0,0,0,0,-,,0,0
5,1,RR,Trent Boult,10,,,0,0,0,0,0,0,0,0,-,,0,0
5,1,RR,Yuzvendra Chahal,11,,,0,0,0,0,0,0,0,0,-,,0,0
5,2,SRH,Kane Williamson,3,Prasidh Krishna,c Devdutt Padikkal b Prasidh Krishna,2,7,6,0,1,0,0,0,28.57,3.0,7,0
5,2,SRH,Abhishek Sharma,1,Yuzvendra Chahal,c Shimron Hetmyer b Yuzvendra Chahal,9,19,13,5,0,0,1,0,47.37,5.0,16,3
5,2,SRH,Rahul Tripathi,4,Prasidh Krishna,c Sanju Samson b Prasidh Krishna,0,3,3,0,0,0,0,0,0.00,2.0,3,0
5,2,SRH,Nicholas Pooran,5,Trent Boult,lbw Trent Boult,0,9,9,0,0,0,0,0,0.00,6.0,9,0
5,2,SRH,Aiden Markram,2,,not out,57,41,10,23,1,0,5,2,139.02,,14,27
5,2,SRH,Abdul Samad,6,Yuzvendra Chahal,c Riyan Parag b Yuzvendra Chahal,4,6,2,4,0,0,0,0,66.67,1.0,0,6
5,2,SRH,Romario Shepherd,7,Yuzvendra Chahal,b Yuzvendra Chahal,24,18,8,4,4,0,0,2,133.33,10.0,4,14
5,2,SRH,Washington Sundar,8,Trent Boult,c Shimron Hetmyer b Trent Boult,40,14,1,4,2,0,5,2,285.71,4.0,12,2
5,2,SRH,Bhuvneshwar Kumar,9,,not out,3,4,1,3,0,0,0,0,75.00,,1,2
5,2,SRH,T Natarajan,10,,,0,0,0,0,0,0,0,0,-,,0,0
5,2,SRH,Umran Malik,11,,,0,0,0,0,0,0,0,0,-,,0,0
6,1,KKR,Ajinkya Rahane,2,Mohammed Siraj,c Shahbaz Ahmed b Mohammed Siraj,9,10,5,3,1,0,1,0,90.00,5.0,10,0
6,1,KKR,Venkatesh Iyer,3,Akash Deep,c & b Akash Deep,10,14,9,2,2,0,1,0,71.43,2.0,14,0
6,1,KKR,Shreyas Iyer,1,Wanindu Hasaranga,c Faf Du Plessis b Wanindu Hasaranga,13,10,3,5,0,0,2,0,130.00,7.0,7,3
6,1,KKR,Nitish Rana,4,Akash Deep,c David Willey b Akash Deep,10,5,3,0,0,0,1,1,200.00,6.0,4,0
6,1,KKR,Sunil Narine,7,Wanindu Hasaranga,c Akash Deep b Wanindu Hasaranga,12,8,4,2,0,0,1,1,150.00,1.0,6,2
6,1,KKR,Sam Billings,6,Harshal Patel,c Virat Kohli b Harshal Patel,14,15,8,4,2,0,0,1,93.33,4.0,7,8
6,1,KKR,Sheldon Jackson,8,Wanindu Hasaranga,b Wanindu Hasaranga,0,1,1,0,0,0,0,0,0.00,11.0,0,1
6,1,KKR,Andre Russell,5,Harshal Patel,c Dinesh Karthik b Harshal Patel,25,18,12,1,1,0,1,3,138.89,3.0,9,9
6,1,KKR,Tim Southee,9,Wanindu Hasaranga,c Faf Du Plessis b Wanindu Hasaranga,1,5,4,1,0,0,0,0,20.00,8.0,2,3
6,1,KKR,Umesh Yadav,10,Akash Deep,b Akash Deep,18,12,5,4,0,0,2,1,150.00,10.0,11,1
6,1,KKR,Varun Chakaravarthy,11,,not out,10,16,12,2,0,0,2,0,62.50,,13,3
6,2,RCB,Faf Du Plessis,1,Tim Southee,c Ajinkya Rahane b Tim Southee,5,4,2,1,0,0,1,0,125.00,3.0,4,0
6,2,RCB,Anuj Rawat,2,Umesh Yadav,c Sheldon Jackson b Umesh Yadav,0,2,2,0,0,0,0,0,0.00,7.0,2,0
6,2,RCB,Virat Kohli,5,Umesh Yadav,c Sheldon Jackson b Umesh Yadav,12,7,3,1,0,1,2,0,171.43,5.0,7,0
6,2,RCB,David Willey,6,Sunil Narine,c Nitish Rana b Sunil Narine,18,28,20,4,1,0,3,0,64.29,2.0,11,17
6,2,RCB,Sherfane Rutherford,4,Tim Southee,c Sheldon Jackson b Tim Southee,28,40,21,16,1,0,1,1,70.00,4.0,18,22
6,2,RCB,Shahbaz Ahmed,8,Varun Chakaravarthy,st Sheldon Jackson b Varun Chakaravarthy,27,20,9,7,1,0,0,3,135.00,6.0,13,6
6,2,RCB,Dinesh Karthik,3,,not out,14,7,1,4,0,0,1,1,200.00,,4,3
6,2,RCB,Wanindu Hasaranga,7,Tim Southee,c Andre Russell b Tim Southee,4,3,2,0,0,0,1,0,133.33,1.0,3,0
6,2,RCB,Harshal Patel,9,,not out,10,6,2,2,0,0,2,0,166.67,,6,0
6,2,RCB,Mohammed Siraj,10,,,0,0,0,0,0,0,0,0,-,,0,0
6,2,RCB,Akash Deep,11,,,0,0,0,0,0,0,0,0,-,,0,0
7,1,CSK,Robin Uthappa,2,Ravi Bishnoi,lbw Ravi Bishnoi,50,27,9,6,3,0,8,1,185.19,4.0,23,4
7,1,CSK,Ruturaj  Gaikwad,1,Andrew Tye,run out (Ravi Bishnoi),1,4,3,1,0,0,0,0,25.00,3.0,4,0
7,1,CSK,Moeen Ali,3,Avesh Khan,b Avesh Khan,35,22,10,5,1,0,4,2,159.09,5.0,10,12
7,1,CSK,Shivam Dube,5,Avesh Khan,c Evin Lewis b Avesh Khan,49,30,8,13,2,0,5,2,163.33,2.0,14,16
7,1,CSK,Ambati Rayudu,4,Ravi Bishnoi,b Ravi Bishnoi,27,20,9,7,0,0,2,2,135.00,9.0,7,13
7,1,CSK,Ravindra Jadeja,6,Andrew Tye,c Manish Pandey b Andrew Tye,17,9,2,3,1,0,3,0,188.89,1.0,6,3
7,1,CSK,MS Dhoni,7,,not out,16,6,2,0,1,0,2,1,266.67,,6,0
7,1,CSK,Dwaine Pretorius,9,Andrew Tye,lbw Andrew Tye,0,1,1,0,0,0,0,0,0.00,6.0,1,0
7,1,CSK,Dwayne Bravo,8,,not out,1,1,0,1,0,0,0,0,100.00,,1,0
7,1,CSK,Tushar Deshpande,10,,,0,0,0,0,0,0,0,0,-,,0,0
7,1,CSK,Mukesh Choudhary,11,,,0,0,0,0,0,0,0,0,-,,0,0
7,2,LSG,K L Rahul,1,Dwaine Pretorius,c Ambati Rayudu b Dwaine Pretorius,40,26,9,10,2,0,2,3,153.85,3.0,18,8
7,2,LSG,Quinton De Kock,2,Dwaine Pretorius,c MS Dhoni b Dwaine Pretorius,61,45,15,17,4,0,9,0,135.56,2.0,35,10
7,2,LSG,Manish Pandey,4,Tushar Deshpande,c Dwayne Bravo b Tushar Deshpande,5,6,3,1,2,0,0,0,83.33,4.0,6,0
7,2,LSG,Evin Lewis,3,,not out,55,23,4,7,3,0,6,3,239.13,,23,0
7,2,LSG,Deepak Hooda,5,Dwayne Bravo,c Ravindra Jadeja b Dwayne Bravo,13,8,3,3,0,0,1,1,162.50,1.0,8,0
7,2,LSG,Ayush Badoni,6,,not out,19,9,2,3,2,0,0,2,211.11,,9,0
7,2,LSG,Krunal Pandya,7,,,0,0,0,0,0,0,0,0,-,,0,0
7,2,LSG,Andrew Tye,8,,,0,0,0,0,0,0,0,0,-,,0,0
7,2,LSG,Dushmantha Chameera,9,,,0,0,0,0,0,0,0,0,-,,0,0
7,2,LSG,Ravi Bishnoi,10,,,0,0,0,0,0,0,0,0,-,,0,0
7,2,LSG,Avesh Khan,11,,,0,0,0,0,0,0,0,0,-,,0,0
8,1,PBSK,Mayank Agarwal,1,Umesh Yadav,lbw Umesh Yadav,1,5,4,1,0,0,0,0,20.00,9.0,5,0
8,1,PBSK,Shikhar Dhawan,2,Tim Southee,c Sam Billings b Tim Southee,16,15,7,6,0,0,1,1,106.67,1.0,11,4
8,1,PBSK,Bhanuka Rajapaksa,3,Shivam Mavi,c Tim Southee b Shivam Mavi,31,9,2,1,0,0,3,3,344.44,7.0,9,0
8,1,PBSK,Liam Livingstone,4,Umesh Yadav,c Tim Southee b Umesh Yadav,19,16,7,6,0,1,1,1,118.75,6.0,8,7
8,1,PBSK,Rajangad Bawa,5,Sunil Narine,b Sunil Narine,11,13,6,5,1,0,1,0,84.62,10.0,3,10
8,1,PBSK,Shahrukh Khan,6,Tim Southee,c Nitish Rana b Tim Southee,0,5,5,0,0,0,0,0,0.00,4.0,1,4
8,1,PBSK,Harpreet Brar,10,Umesh Yadav,b Umesh Yadav,14,18,12,4,0,0,1,1,77.78,8.0,5,13
8,1,PBSK,Odean Smith,7,,not out,9,12,8,3,0,0,0,1,75.00,,7,5
8,1,PBSK,Rahul Chahar,8,Umesh Yadav,c Nitish Rana b Umesh Yadav,0,2,2,0,0,0,0,0,0.00,3.0,2,0
8,1,PBSK,Kagiso Rabada,9,Andre Russell,c Tim Southee b Andre Russell,25,16,8,3,0,0,4,1,156.25,5.0,10,5
8,1,PBSK,Arshdeep Singh,11,Andre Russell,run out (Nitish Rana),0,1,1,0,0,0,0,0,0.00,2.0,1,0
8,2,KKR,Ajinkya Rahane,1,Kagiso Rabada,c Odean Smith b Kagiso Rabada,12,11,8,0,0,0,3,0,109.09,3.0,11,0
8,2,KKR,Venkatesh Iyer,2,Odean Smith,c Harpreet Brar b Odean Smith,3,7,4,3,0,0,0,0,42.86,2.0,7,0
8,2,KKR,Shreyas Iyer,3,Rahul Chahar,c Kagiso Rabada b Rahul Chahar,26,15,5,4,1,0,5,0,173.33,1.0,11,4
8,2,KKR,Sam Billings,5,,not out,24,23,9,10,2,0,1,1,104.35,,11,12
8,2,KKR,Nitish Rana,4,Rahul Chahar,lbw Rahul Chahar,0,2,2,0,0,0,0,0,0.00,7.0,0,2
8,2,KKR,Andre Russell,6,,not out,70,31,10,8,3,0,2,8,225.81,,8,21
8,2,KKR,Sunil Narine,7,,,0,0,0,0,0,0,0,0,-,,0,0
8,2,KKR,Tim Southee,8,,,0,0,0,0,0,0,0,0,-,,0,0
8,2,KKR,Shivam Mavi,9,,,0,0,0,0,0,0,0,0,-,,0,0
8,2,KKR,Umesh Yadav,10,,,0,0,0,0,0,0,0,0,-,,0,0
8,2,KKR,Varun Chakaravarthy,11,,,0,0,0,0,0,0,0,0,-,,0,0
9,1,RR,Jos Buttler,1,Jasprit Bumrah,b Jasprit Bumrah,100,68,28,22,2,0,11,5,147.06,10.0,57,11
9,1,RR,Yashasvi Jaiswal,2,Jasprit Bumrah,c Tim David b Jasprit Bumrah,1,2,1,1,0,0,0,0,50.00,4.0,2,0
9,1,RR,Devdutt Padikkal,4,Tymal Mills,c Rohit Sharma b Tymal Mills,7,7,4,1,1,0,1,0,100.00,2.0,3,4
9,1,RR,Sanju Samson,3,Kieron Pollard,c Tilak Varma b Kieron Pollard,30,21,9,8,0,0,1,3,142.86,5.0,18,3
9,1,RR,Shimron Hetmyer,5,Jasprit Bumrah,c Tilak Varma b Jasprit Bumrah,35,14,3,5,0,0,3,3,250.00,6.0,14,0
9,1,RR,Riyan Parag,6,Tymal Mills,c Tim David b Tymal Mills,5,4,2,1,0,0,1,0,125.00,3.0,4,0
9,1,RR,Ravichandran Ashwin,7,Jasprit Bumrah,run out (Tilak Varma),1,1,0,1,0,0,0,0,100.00,7.0,1,0
9,1,RR,Navdeep Saini,11,Tymal Mills,c Ishan Kishan b Tymal Mills,2,2,1,0,1,0,0,0,100.00,1.0,2,0
9,1,RR,Trent Boult,8,,not out,1,1,0,1,0,0,0,0,100.00,,1,0
9,1,RR,Yuzvendra Chahal,9,,,0,0,0,0,0,0,0,0,-,,0,0
9,1,RR,Prasidh Krishna,10,,,0,0,0,0,0,0,0,0,-,,0,0
9,2,MI,Ishan Kishan,2,Trent Boult,c Navdeep Saini b Trent Boult,54,43,13,20,4,0,5,1,125.58,6.0,25,17
9,2,MI,Rohit Sharma,1,Prasidh Krishna,c Riyan Parag b Prasidh Krishna,10,5,2,0,2,0,0,1,200.00,3.0,5,0
9,2,MI,Anmolpreet Singh,3,Navdeep Saini,c Devdutt Padikkal b Navdeep Saini,5,4,2,1,0,0,1,0,125.00,5.0,4,0
9,2,MI,Tilak Varma,4,Ravichandran Ashwin,b Ravichandran Ashwin,61,33,8,15,2,0,3,5,184.85,11.0,8,25
9,2,MI,Kieron Pollard,6,Navdeep Saini,c Jos Buttler b Navdeep Saini,22,24,17,2,1,0,3,1,91.67,1.0,17,6
9,2,MI,Tim David,5,Yuzvendra Chahal,lbw Yuzvendra Chahal,1,3,2,1,0,0,0,0,33.33,8.0,0,3
9,2,MI,Daniel Sams,7,Yuzvendra Chahal,c Jos Buttler b Yuzvendra Chahal,0,1,1,0,0,0,0,0,0.00,2.0,0,1
9,2,MI,Murugan Ashwin,8,Prasidh Krishna,run out (Sanju Samson),6,8,5,2,0,0,1,0,75.00,4.0,6,2
9,2,MI,Jasprit Bumrah,10,,not out,0,1,1,0,0,0,0,0,0.00,,1,0
9,2,MI,Tymal Mills,9,,,0,0,0,0,0,0,0,0,-,,0,0
9,2,MI,Basil Thampi,11,,,0,0,0,0,0,0,0,0,-,,0,0
10,1,GT,Matthew Wade,2,Mustafizur Rahman,c Rishabh Pant b Mustafizur Rahman,1,2,1,1,0,0,0,0,50.00,4.0,2,0
10,1,GT,Shubman Gill,1,Khaleel Ahmed,c Axar Patel b Khaleel Ahmed,84,46,6,24,6,0,6,4,182.61,2.0,24,21
10,1,GT,Vijay Shankar,3,Kuldeep Yadav,b Kuldeep Yadav,13,20,11,7,1,0,1,0,65.00,10.0,15,5
10,1,GT,Hardik Pandya,5,Khaleel Ahmed,c Rovman Powell b Khaleel Ahmed,31,27,11,9,3,0,4,0,114.81,5.0,10,17
10,1,GT,David Miller,4,,not out,20,15,3,8,2,0,2,0,133.33,,10,5
10,1,GT,Rahul Tewatia,6,Mustafizur Rahman,c Shardul Thakur b Mustafizur Rahman,14,8,3,2,1,0,1,1,175.00,1.0,8,0
10,1,GT,Abhinav Manohar,7,Mustafizur Rahman,c Axar Patel b Mustafizur Rahman,1,2,1,1,0,0,0,0,50.00,3.0,2,0
10,1,GT,Rashid Khan,9,,not out,0,1,1,0,0,0,0,0,0.00,,1,0
10,1,GT,Lockie Ferguson,8,,,0,0,0,0,0,0,0,0,-,,0,0
10,1,GT,Mohammad Shami,10,,,0,0,0,0,0,0,0,0,-,,0,0
10,1,GT,Varun Aaron,11,,,0,0,0,0,0,0,0,0,-,,0,0
10,2,DC,Prithvi Shaw,1,Lockie Ferguson,c Vijay Shankar b Lockie Ferguson,10,7,1,4,1,0,1,0,142.86,4.0,7,0
10,2,DC,Tim Seifert,2,Hardik Pandya,c Abhinav Manohar b Hardik Pandya,3,5,3,1,1,0,0,0,60.00,7.0,5,0
10,2,DC,Mandeep Singh,3,Lockie Ferguson,c Matthew Wade b Lockie Ferguson,18,16,10,2,0,0,4,0,112.50,2.0,16,0
10,2,DC,Rishabh Pant,4,Lockie Ferguson,c Abhinav Manohar b Lockie Ferguson,43,29,7,15,0,0,7,0,148.28,5.0,18,11
10,2,DC,Lalit Yadav,6,Vijay Shankar,run out (Abhinav Manohar),25,22,11,5,3,0,2,1,113.64,6.0,14,8
10,2,DC,Rovman Powell,5,Mohammad Shami,lbw Mohammad Shami,20,12,3,6,0,0,2,1,166.67,11.0,5,7
10,2,DC,Axar Patel,7,Lockie Ferguson,c Matthew Wade b Lockie Ferguson,8,4,2,0,0,0,2,0,200.00,1.0,4,0
10,2,DC,Shardul Thakur,8,Rashid Khan,lbw Rashid Khan,2,5,4,0,1,0,0,0,40.00,8.0,1,4
10,2,DC,Kuldeep Yadav,9,,not out,14,14,5,8,0,0,0,1,100.00,,9,5
10,2,DC,Khaleel Ahmed,10,Mohammad Shami,c Matthew Wade b Mohammad Shami,0,1,1,0,0,0,0,0,0.00,3.0,1,0
10,2,DC,Mustafizur Rahman,11,,not out,3,5,2,3,0,0,0,0,60.00,,4,1
11,1,PBSK,Mayank Agarwal,10,Mukesh Choudhary,c Robin Uthappa b Mukesh Choudhary,4,2,1,0,0,0,1,0,200.00,2.0,2,0
11,1,PBSK,Shikhar Dhawan,8,Dwayne Bravo,c Ravindra Jadeja b Dwayne Bravo,33,24,11,5,3,0,4,1,137.50,4.0,20,4
11,1,PBSK,Bhanuka Rajapaksa,4,Chris Jordan,run out (Chris Jordan),9,5,2,1,1,0,0,1,180.00,5.0,5,0
11,1,PBSK,Liam Livingstone,5,Ravindra Jadeja,c Ambati Rayudu b Ravindra Jadeja,60,32,14,7,0,1,5,5,187.50,6.0,21,11
